Profile_Id,Profile_Name,Profile_Link,Designation,Interested_In,No_Of_Citations
1,Timothy Mason,https://scholar.google.co.uk/citations?hl=en&user=ywiPqccAAAAJ,"Emeritus Professor, Coventry University",sonochemistry ultrasound chemistry environment food technology ,25208
2,Gurnam Singh,https://scholar.google.co.uk/citations?hl=en&user=A93LzQMAAAAJ,"Principal Lecturer in Social Work, Coventry University",social work race and racism critical pedagogy neoliberalism higher education ,23015
3,WD Li,https://scholar.google.co.uk/citations?hl=en&user=hZY-wA4AAAAJ,"Professor of Manufacturing, Coventry University",,20330
4,Dr. Mohammad M Ali,https://scholar.google.co.uk/citations?hl=en&user=tI1RwOIAAAAJ,Coventry University,Forecast Information Sharing ARIMA Modelling Supply Chain Management Demand Planning and Forecasting ,15016
5,Petra Wark,https://scholar.google.co.uk/citations?hl=en&user=PdZZpBkAAAAJ,"Professor in Digital Health and Wellbeing, Coventry University",m/eHealth epidemiology primary prevention diet and lifestyle validation ,12134
6,Kevin Warwick,https://scholar.google.co.uk/citations?hl=en&user=TfTyMZQAAAAJ,"Emeritus Professor, Coventry University & University of Reading",Biomedical Engineering Machine Intelligence Bioethics Cybernetics Cyborgs ,11798
7,Sally Dibb,https://scholar.google.co.uk/citations?hl=en&user=GK_0st4AAAAJ,Coventry University,,9093
8,Moya Kneafsey,https://scholar.google.co.uk/citations?hl=en&user=LdhLhI0AAAAJ,"Reader in Human Geography, Coventry University",food geographies short food chains local foods community foods ,6587
9,Prof. John Allen,https://scholar.google.co.uk/citations?hl=en&user=-GsW3HsAAAAJ,Coventry University,photoplethysmography pulse capillaroscopy microvascular thermal imaging ,6552
10,andy turner,https://scholar.google.co.uk/citations?hl=en&user=rr94cyYAAAAJ,"Professor of Health Psychology, Coventry University. CEO HOPE 4 THE COMMUNITY CIC",Health psychology self-management ,6544
11,Vasile Palade,https://scholar.google.co.uk/citations?hl=en&user=KTXoxysAAAAJ,"Professor of Artificial Intelligence and Data Science, Coventry University",Machine Learning Data Science ,6304
12,Richard Aspinall,https://scholar.google.co.uk/citations?hl=en&user=UB66hN4AAAAJ,"Associate Dean (Research) Coventry University, Chief Scientist Rivock Ltd., CSO Hypo …",Age related changes in immunity use of technolgy to determine health status ,5912
13,Michel Pimbert,https://scholar.google.co.uk/citations?hl=en&user=vnyHhSoAAAAJ,"Director, Centre for Agroecology, Water and Resilience at Coventry University",Food sovereignty agroecology environment participatory democracy transdisciplinary research ,5767
14,Nick Henry,https://scholar.google.co.uk/citations?hl=en&user=RVGRUGgAAAAJ,"Co-Director, CBiS, Coventry University",,5539
15,Michael Duncan,https://scholar.google.co.uk/citations?hl=en&user=UnaJjYIAAAAJ,"Department of Applied Sciences and Health, Coventry University",Physical activity obesity exercise children sports science ,5412
16,Julia M Carroll,https://scholar.google.co.uk/citations?hl=en&user=UA1qV_sAAAAJ,Coventry University,literacy language acquisition ,5025
17,Michael E. Fitzpatrick,https://scholar.google.co.uk/citations?hl=en&user=S4mloT4AAAAJ,Coventry University,,4746
18,Don Harris,https://scholar.google.co.uk/citations?hl=en&user=3Jad6WgAAAAJ,"Professor of Human Factors, Coventry University",Human Factors Safety Aviation Automotive Defence ,4687
19,Professor Damian Lawler,https://scholar.google.co.uk/citations?hl=en&user=Vo-5UbAAAAAJ,Coventry University,River processes Hydrology Water Pollution Climate Change ,4423
20,Glauco De Vita,https://scholar.google.co.uk/citations?hl=en&user=BwAr0OMAAAAJ,"Centre for Business in Society (CBiS), Coventry University",Professor of International Business … ,4373
21,Prof Christopher A Reynolds,https://scholar.google.co.uk/citations?hl=en&user=8D92Hj0AAAAJ,University of Coventry,GPCRs class B GPCRs molecular modelling polarization drug design ,4326
22,YingLiang Ma,https://scholar.google.co.uk/citations?hl=en&user=bRhevv8AAAAJ,Coventry University,image processing medical imaging computer graphics ,4242
23,James Yang,https://scholar.google.co.uk/citations?hl=en&user=qAnwKk4AAAAJ,"Professor, Coventry University",computational mechanics fracture mechanics concrete structures composites scaled boundary finite element ,4147
24,Om P Kurmi,https://scholar.google.co.uk/citations?hl=en&user=n9DBSCAAAAAJ,"Associate Professor, Faculty of Health and Life Sciences, Coventry University",Population health Cardiorespiratory diseases Respiratory Epidemiology Environmental Epidemiology Occupational health ,3892
25,Richard Dashwood,https://scholar.google.co.uk/citations?hl=en&user=duXSiwIAAAAJ,"Coventry University, Imperial College London, University of Warwick,",,3865
26,Hilary Nesi,https://scholar.google.co.uk/citations?hl=en&user=nx161xMAAAAJ,"Professor of English Language, Coventry University",English for Academic Purposes Metalexicography Corpus Linguistics ,3852
27,Jean-Claude Morel,https://scholar.google.co.uk/citations?hl=en&user=f_90WcQAAAAJ,"Research Prof., Coventry university",,3773
